valeur_fonciere,code_postal,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,exterieur
65000.0,31600,Appartement,26.0,1.0,0.0,0
111000.0,31600,Appartement,49.0,2.0,0.0,0
95000.0,31600,Appartement,44.0,2.0,0.0,0
91500.0,31600,Appartement,45.0,2.0,0.0,0
190000.0,31600,Appartement,61.0,3.0,0.0,0
142651.0,31600,Appartement,70.0,3.0,0.0,0
68000.0,31600,Appartement,28.0,1.0,0.0,0
105000.0,31600,Appartement,44.0,2.0,0.0,0
61000.0,31600,Appartement,88.0,4.0,0.0,0
81000.0,31600,Appartement,71.0,4.0,0.0,0
90000.0,31600,Appartement,90.0,5.0,0.0,0
84000.0,31600,Appartement,77.0,4.0,0.0,0
73000.0,31600,Appartement,76.0,4.0,0.0,0
93500.0,31600,Appartement,90.0,5.0,0.0,0
186500.0,31600,Appartement,83.0,4.0,0.0,0
110000.0,31600,Appartement,45.0,2.0,0.0,0
147000.0,31600,Appartement,80.0,3.0,0.0,0
130000.0,31600,Appartement,63.0,3.0,0.0,0
62500.0,31600,Appartement,61.0,3.0,0.0,0
85000.0,31600,Appartement,77.0,4.0,0.0,0
88000.0,31600,Appartement,77.0,4.0,0.0,0
110000.0,31600,Appartement,65.0,3.0,0.0,0
135800.0,31600,Appartement,68.0,3.0,0.0,0
48000.0,31600,Appartement,13.0,1.0,0.0,0
115010.0,31600,Appartement,88.0,4.0,0.0,0
99100.0,31600,Appartement,53.0,3.0,0.0,0
79900.0,31600,Appartement,40.0,2.0,0.0,0
130000.0,31600,Appartement,64.0,3.0,0.0,0
123000.0,31600,Appartement,70.0,3.0,0.0,0
150600.0,31600,Appartement,67.0,3.0,0.0,0
100000.0,31600,Appartement,45.0,2.0,0.0,0
73500.0,31600,Appartement,28.0,1.0,0.0,0
95000.0,31600,Appartement,46.0,2.0,0.0,0
1510000.0,31600,Appartement,48.0,3.0,516.0,1
82400.0,31600,Appartement,76.0,4.0,0.0,0
145030.0,31600,Appartement,68.0,3.0,0.0,0
65000.0,31600,Appartement,28.0,1.0,0.0,0
91400.0,31600,Appartement,89.0,5.0,0.0,0
80300.0,31600,Appartement,77.0,4.0,0.0,0
93000.0,31600,Appartement,90.0,5.0,0.0,0
329000.0,31500,Appartement,85.0,4.0,0.0,0
166000.0,31500,Appartement,25.0,1.0,0.0,0
153000.0,31200,Appartement,57.0,3.0,0.0,0
140000.0,31200,Appartement,57.0,2.0,0.0,0
208240.0,31400,Appartement,64.0,3.0,0.0,0
485700.0,31000,Appartement,121.0,5.0,0.0,0
79020.0,31400,Appartement,18.0,1.0,0.0,0
148985.0,31200,Appartement,46.0,2.0,0.0,0
117000.0,31000,Appartement,15.0,1.0,0.0,0
157000.0,31400,Appartement,46.0,2.0,0.0,0
220000.0,31500,Appartement,46.0,2.0,0.0,0
156000.0,31500,Appartement,57.0,3.0,0.0,0
162500.0,31000,Appartement,30.0,1.0,0.0,0
180000.0,31100,Appartement,93.0,5.0,0.0,0
196800.0,31200,Appartement,65.0,3.0,0.0,0
215000.0,31200,Appartement,85.0,4.0,0.0,0
83200.0,31200,Appartement,22.0,1.0,0.0,0
145000.0,31400,Appartement,62.0,4.0,0.0,0
132500.0,31400,Appartement,41.0,2.0,0.0,0
125500.0,31300,Appartement,28.0,1.0,0.0,0
200000.0,31500,Appartement,74.0,1.0,0.0,0
100000.0,31200,Appartement,44.0,2.0,0.0,0
