valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain,year,prix_mcarre
385000.0,31560,Nailloux,Maison,122.0,4.0,sols,1000.0,2022,3155.7377049180327
175506.5,31560,Nailloux,Maison,87.0,3.0,sols,325.0,2022,2017.316091954023
104000.0,31560,Nailloux,Maison,81.0,4.0,sols,223.0,2022,1283.9506172839506
379990.0,31560,Nailloux,Maison,170.0,8.0,sols,293.0,2022,2235.235294117647
96000.0,31560,Nailloux,Maison,76.0,4.0,sols,168.0,2022,1263.157894736842
220000.0,31560,Nailloux,Maison,110.0,3.0,sols,204.0,2022,2000.0
251500.0,31560,Nailloux,Maison,130.0,4.0,sols,434.0,2022,1934.6153846153845
56500.0,31560,Nailloux,Maison,95.0,4.0,,0.0,2022,594.7368421052631
154291.0,31560,Nailloux,Maison,81.0,4.0,,0.0,2022,1904.8271604938273
70000.0,31560,Nailloux,Maison,120.0,5.0,sols,169.0,2022,583.3333333333334
107000.0,31560,Nailloux,Maison,80.0,2.0,sols,289.0,2022,1337.5
272900.0,31560,Nailloux,Maison,93.0,4.0,sols,642.0,2022,2934.4086021505377
190000.0,31560,Nailloux,Maison,84.0,4.0,,0.0,2022,2261.904761904762
215000.0,31560,Nailloux,Maison,93.0,4.0,sols,470.0,2022,2311.8279569892475
135850.0,31560,Nailloux,Maison,64.0,3.0,sols,40.0,2022,2122.65625
136700.0,31560,Nailloux,Maison,65.0,3.0,,0.0,2022,2103.076923076923
215000.0,31560,Nailloux,Maison,75.0,4.0,sols,793.0,2022,2866.6666666666665
187000.0,31560,Nailloux,Maison,41.0,3.0,sols,194.0,2022,4560.975609756098
291600.0,31560,Nailloux,Maison,92.0,4.0,sols,482.0,2022,3169.5652173913045
164000.0,31560,Nailloux,Maison,86.0,4.0,,0.0,2022,1906.9767441860465
299750.0,31410,Capens,Maison,130.0,5.0,terres,2352.0,2023,2305.769230769231
310000.0,31410,Capens,Maison,105.0,4.0,terrains d'agrément,1200.0,2023,2952.3809523809523
145000.0,31410,Capens,Maison,88.0,4.0,sols,1059.0,2023,1647.7272727272727
326500.0,31410,Capens,Maison,154.0,5.0,sols,295.0,2023,2120.12987012987
18000.0,31440,Fos,Maison,20.0,1.0,sols,70.0,2022,900.0
81000.0,31440,Fos,Maison,73.0,4.0,sols,152.0,2022,1109.5890410958905
22000.0,31440,Fos,Maison,115.0,4.0,sols,251.0,2022,191.30434782608697
55000.0,31440,Fos,Maison,67.0,4.0,sols,110.0,2022,820.8955223880597
45000.0,31440,Fos,Maison,84.0,3.0,sols,220.0,2022,535.7142857142857
103000.0,31440,Fos,Maison,52.0,4.0,sols,427.0,2022,1980.7692307692307
351000.0,31130,Flourens,Maison,100.0,4.0,sols,4394.0,2023,3510.0
509300.0,31130,Flourens,Maison,141.0,5.0,sols,559.0,2023,3612.0567375886526
475770.0,31130,Flourens,Maison,104.0,5.0,sols,511.0,2023,4574.711538461538
565737.5,31130,Flourens,Maison,169.0,6.0,sols,528.0,2023,3347.559171597633
434600.0,31130,Flourens,Maison,129.0,5.0,terrains a bâtir,1015.0,2023,3368.9922480620153
512000.0,31130,Flourens,Maison,124.0,4.0,sols,848.0,2023,4129.032258064516
421280.0,31130,Flourens,Maison,115.0,5.0,sols,536.0,2023,3663.304347826087
485000.0,31130,Flourens,Maison,125.0,4.0,sols,1000.0,2023,3880.0
500000.0,31130,Flourens,Maison,105.0,4.0,sols,859.0,2023,4761.9047619047615
295000.0,31130,Flourens,Maison,94.0,3.0,sols,664.0,2023,3138.2978723404253
