valeur_fonciere,code_postal,surface_reelle_bati,nombre_pieces_principales,surface_terrain,exterieur
649650.0,31470.0,183.0,4.0,500.0,1
243435.0,31470.0,128.0,6.0,1149.0,1
160000.0,31470.0,80.0,4.0,188.0,1
290500.0,31470.0,99.0,4.0,463.0,1
466900.0,31470.0,155.0,4.0,953.0,1
245000.0,31470.0,84.0,5.0,500.0,1
156750.0,31450.0,73.0,3.0,188.0,1
119000.0,31450.0,110.0,5.0,504.0,1
273050.0,31450.0,81.0,4.0,468.0,1
293150.0,31450.0,97.0,4.0,478.0,1
170000.0,31450.0,94.0,4.0,0.0,0
185000.0,31450.0,95.0,3.0,73.0,1
335400.0,31450.0,96.0,4.0,455.0,1
155000.0,31450.0,67.0,3.0,303.0,1
541700.0,31450.0,190.0,6.0,878.0,1
327000.0,31450.0,87.0,5.0,0.0,0
470000.0,31450.0,198.0,9.0,422.0,1
184020.0,31450.0,85.0,3.0,100.0,1
285020.0,31450.0,105.0,4.0,1095.0,1
160000.0,31450.0,80.0,3.0,90.0,1
287500.0,31450.0,129.0,4.0,1112.0,1
301430.0,31450.0,94.0,4.0,1099.0,1
145000.0,31450.0,80.0,3.0,55.0,1
444900.0,31450.0,133.0,6.0,500.0,1
409420.0,31450.0,180.0,5.0,250.0,1
265000.0,31450.0,87.0,5.0,786.0,1
220400.0,31450.0,79.0,4.0,99.0,1
413650.0,31450.0,154.0,7.0,706.0,1
159000.0,31450.0,73.0,3.0,169.0,1
275000.0,31450.0,88.0,4.0,489.0,1
424640.0,31450.0,135.0,5.0,1060.0,1
439200.0,31450.0,135.0,6.0,1000.0,1
329000.0,31450.0,108.0,5.0,1380.0,1
235850.0,31450.0,98.0,5.0,233.0,1
